"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Single Arm Cable Row",,"",3,"normal",110,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Bent Over Row (Barbell)",,"",0,"normal",135,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Bent Over Row (Barbell)",,"",1,"normal",155,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Bent Over Row (Barbell)",,"",2,"normal",185,4,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Bent Over Row (Barbell)",,"",3,"normal",185,5,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Bicep Curl (Barbell)",,"",0,"normal",75,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Bicep Curl (Barbell)",,"",1,"normal",85,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Bicep Curl (Barbell)",,"",2,"normal",85,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Lateral Raise (Dumbbell)",,"",0,"normal",60,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Lateral Raise (Dumbbell)",,"",1,"normal",60,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Lateral Raise (Dumbbell)",,"",2,"normal",50,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Hammer Curl (Dumbbell)",,"",0,"normal",80,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Hammer Curl (Dumbbell)",,"",1,"normal",80,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Hammer Curl (Dumbbell)",,"",2,"normal",80,5,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Wrist curl Cable",,"",0,"normal",72.5,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Wrist curl Cable",,"",1,"normal",72.5,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Wrist curl Cable",,"",2,"normal",72.5,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Incline Bench Press (Barbell)",,"",0,"normal",135,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Incline Bench Press (Barbell)",,"",1,"normal",185,5,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Incline Bench Press (Barbell)",,"",2,"normal",205,2,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Incline Bench Press (Barbell)",,"",3,"normal",185,4,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Incline Bench Press (Barbell)",,"",4,"normal",135,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Overhead Press (Dumbbell)",,"",0,"normal",130,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Overhead Press (Dumbbell)",,"",1,"normal",130,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Overhead Press (Dumbbell)",,"",2,"normal",130,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Triceps Pushdown",,"",0,"normal",95,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Triceps Pushdown",,"",1,"normal",95,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Triceps Pushdown",,"",2,"normal",95,10,,,
"Push 1","24 Dec 2025, 17:44","24 Dec 2025, 18:40","Temp sore chest","Triceps Pushdown",,"",3,"normal",72.5,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Pull Up",,"3 grips",0,"normal",,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Pull Up",,"3 grips",1,"normal",,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Pull Up",,"3 grips",2,"normal",,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","T Bar Row",,"",0,"normal",160,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","T Bar Row",,"",1,"normal",185,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","T Bar Row",,"",2,"normal",185,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","T Bar Row",,"",3,"normal",160,10,,,
